"manufacturer","model","category","modes_json","weight_kg","dimensions_length_mm","dimensions_width_mm","dimensions_height_mm","brightness_value","brightness_unit","power_voltage_range","power_avg_w","power_max_w","power_avg_a","power_max_a","connectivity_data_in","connectivity_data_out","connectivity_power_in","connectivity_power_out","sources_json","notes"
"GLP","Force 120","Wash","[{""name"":""Extended"",""channels"":5},{""name"":""Normal"",""channels"":8},{""name"":""Extended Legacy"",""channels"":5},{""name"":""Normal Legacy"",""channels"":8}]",94,1400,1400,400,"","","","",1000,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://glp.de/en/products/stage-effects-root/stage-effects/force-120-en""},{""type"":""manual"",""ref"":""https://glp.de/files/products/force-120-product-data/Force_120_1.5_en-us.pdf""}]",""
"GLP","impression FR1","Wash","[{""name"":""Normal"",""channels"":16}]",4,190,355,140,"","","","",80,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://glp.de/en/products/entertainment-lighting/moving-lights/impression-fr1-en""},{""type"":""manual"",""ref"":""https://glp.de/files/products/impression-fr1-product-data/GLP_impression_FR1_User_Manual_EN_Rev_G_20201208.pdf""}]",""
"GLP","impression Laser","Laser","[{""name"":""Normal"",""channels"":20}]",7.5,340,145,370,"","","","",170,"","","DMX 3-pin","","PowerCON","","[{""type"":""datasheet"",""ref"":""""},{""type"":""manual"",""ref"":""https://www.glp.de/de/produkte?format=raw&task=download&fid=65""}]",""
"GLP","impression Spot One","Spot","[{""name"":""Normal 24-channel"",""channels"":24},{""name"":""Compress 20-channel"",""channels"":20},{""name"":""Extended 31-channel"",""channels"":31}]",23,472,618,230,"","","","",700,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://glp.de/en/products/discontinued/impression-spot-one-en""},{""type"":""manual"",""ref"":""https://glp.de/files/products/impression-spot-one-product-data/Impression_SpotOne_Manual_V1.97_EN.PDF""}]",""
"GLP","Impression X4 Bar 10","Pixel Bar","[{""name"":""Normal"",""channels"":33},{""name"":""Compressed"",""channels"":19},{""name"":""High Resolution"",""channels"":34},{""name"":""Dual Pixel"",""channels"":9},{""name"":""Dual Pixel High Resolution"",""channels"":10},{""name"":""Single Pixel"",""channels"":9},{""name"":""Single Pixel High Resolution"",""channels"":10}]",8,500,240,100,"","","","",200,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://glp.de/en/products/entertainment-lighting/moving-lights/impression-x4-bar-10-en""},{""type"":""manual"",""ref"":""https://glp.de/files/products/impression-x4-bar-10-product-data/impression_X4_Bar_10_Manual_v1.8_EN.pdf""}]",""
"GLP","JDC1","Strobe","[{""name"":""Compressed Pro 14-channel"",""channels"":14},{""name"":""Normal 23-channel"",""channels"":23},{""name"":""SPix 68-channel"",""channels"":22},{""name"":""SPix Pro 62-channel"",""channels"":16},{""name"":""1Pix Pro 17-channel"",""channels"":17},{""name"":""Easy 11-channel"",""channels"":11}]",12,390,284,154,"","","","",1200,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://glp.de/en/products/entertainment-lighting/strobes/jdc1-en""},{""type"":""manual"",""ref"":""https://glp.de/files/products/jdc1-product-data/GLP_JDC1_User_Manual_EN_Rev20240830-01.pdf""}]",""
"GLP","KNV Arc","Strobe","[{""name"":""RGBW 16-bit"",""channels"":10},{""name"":""White strobe with FX, RGB with FX"",""channels"":23},{""name"":""RGB strobe with FX, White 25-pixel"",""channels"":16},{""name"":""White strobe with FX, RGB 25-pixel"",""channels"":12},{""name"":""Multi-layer RGBW with FX"",""channels"":35},{""name"":""RGBW 25-pixel 8-bit"",""channels"":3},{""name"":""RGBW 25-pixel 16-bit"",""channels"":3}]",9.7,250,250,180,55030,"lm","","",800,"","","","","PowerCON TRUE1","PowerCON TRUE1","[{""type"":""datasheet"",""ref"":""https://glp.de/en/products/entertainment-lighting/creative-led-system/knv-arc-en""},{""type"":""manual"",""ref"":""https://glp.de/files/products/knv-arc-product-data/KNV_CA_User_Manual_EN_Rev.B_SW_14.8_20190704.pdf""}]",""
"GLP","KNV Cube","Strobe","[{""name"":""RGBW 16-bit"",""channels"":10},{""name"":""White strobe with FX, RGB with FX"",""channels"":23},{""name"":""RGB strobe with FX, White 25-pixel"",""channels"":16},{""name"":""White strobe with FX, RGB 25-pixel"",""channels"":12},{""name"":""Multi-layer RGBW with FX"",""channels"":35},{""name"":""RGBW 25-pixel 8-bit"",""channels"":3},{""name"":""RGBW 25-pixel 16-bit"",""channels"":3}]",9.3,250,250,183,55030,"lm","","",800,"","","","","","","[{""type"":""datasheet"",""ref"":""https://glp.de/en/products/entertainment-lighting/creative-led-system/knv-cube-en""},{""type"":""manual"",""ref"":""https://glp.de/files/products/knv-cube-product-data/KNV_CA_User_Manual_EN_Rev.B_SW_14.8_20190704.pdf""}]",""
"Elation","ACL 360 Roller","Wash","[{""name"":""Basic"",""channels"":17},{""name"":""Standard"",""channels"":19},{""name"":""Extended"",""channels"":16}]",20,480.7,541,260,"","","","",280,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/acl-360-roller""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9806/ACL%20360%20ROLLER%20-%20User%20Manual.pdf""}]",""
"Elation","CUEPIX Blinder WW2","Blinder","[{""name"":""1-channel"",""channels"":1},{""name"":""2-channel"",""channels"":2},{""name"":""3-channel"",""channels"":3},{""name"":""4-channel"",""channels"":4}]",5.1,259.4,181.2,478,"","","","",229,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/cuepix-blinder-ww2""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9941/Elation%20Cuepix%20Blinder%20WW2%20-%20User%20Manual.pdf""}]",""
"Elation","CUEPIX Blinder WW4","Blinder","[{""name"":""1-channel"",""channels"":1},{""name"":""2-channel"",""channels"":2},{""name"":""4-channel"",""channels"":4},{""name"":""5-channel"",""channels"":5},{""name"":""7-channel"",""channels"":7},{""name"":""9-channel"",""channels"":9}]",5.1,259.4,181.2,478,"","","","",229,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/cuepix-blinder-ww4""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9870/Elation%20Cuepix%20Blinder%20WW4%20-%20User%20Manual%20.pdf""}]",""
"Elation","Design LED Par Zoom","Wash","[{""name"":""8-channel"",""channels"":8}]",7,79,76.5,60,"","","","",120,"","","DMX 3-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/design-led-par-zoom""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/10094/elation_design_par_led_zoom_user_manual.pdf""}]",""
"Elation","FUZE PAR Z60IP","Wash","[{""name"":""4-channel RGBW"",""channels"":4},{""name"":""4-channel HSI"",""channels"":4},{""name"":""5-channel HSI"",""channels"":5},{""name"":""6-channel RGBW"",""channels"":6},{""name"":""7-channel sRGBWI"",""channels"":7},{""name"":""7-channel RGBW"",""channels"":7},{""name"":""8-channel RGBW"",""channels"":8},{""name"":""9-channel RGBW"",""channels"":9},{""name"":""10-channel 16Bit"",""channels"":10},{""name"":""10-channel HSI"",""channels"":10},{""name"":""12-channel sRGBI"",""channels"":12},{""name"":""13-channel RGBW"",""channels"":13}]",4.5,312.5,284,410,"","","","",78,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/fuze-par-z60-ip""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9776/ELATION%20FUZE%20PAR%20Z60%20IP%20-%20USER%20MANUAL.pdf""}]",""
"Elation","Platinum HFX","Wash","[{""name"":""Extended"",""channels"":26},{""name"":""Standard"",""channels"":19},{""name"":""Basic"",""channels"":17}]",22.7,466,675.5,340,"","","","",450,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/platinum-hfx""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9814/Platinum%20HFX%20-%20User%20Manual%20.pdf""}]",""
"Elation","Platinum Seven","Wash","[{""name"":""Basic"",""channels"":24},{""name"":""Standard"",""channels"":31},{""name"":""Extended"",""channels"":20}]",21.3,418.1,558.9,284.4,"","","","",600,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/platinum-seven""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9777/Platinum%20Seven%20-%20User%20Manual%20.pdf""}]",""
"Elation","Platinum Spot 15R Pro","Spot","[{""name"":""Basic"",""channels"":21},{""name"":""Standard"",""channels"":23},{""name"":""Extended"",""channels"":34}]",22.2,50,72,46.5,"","","","",500,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/platinum-spot-15r-pro""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/10038/PLATINUM%20SPOT%2015R%20PRO%20-%20User%20Manual%20Ver.1.pdf""}]",""
"Elation","Proteus Hybrid","Hybrid","[{""name"":""Basic"",""channels"":24},{""name"":""Standard"",""channels"":26},{""name"":""Extended"",""channels"":37}]",38.0,465,650,571,23000,"lm","","",750,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/proteus-hybrid""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/10677/ELATION%20PROTEUS%20HYBRID%20-%20PROTEUS%20HYBRID%20WMG%20-%20USER%20MANUAL.pdf""}]",""
"Elation","SIXPAR 100IP","Wash","[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",4.3,257,243,158,"","","","",89,"","","DMX 3-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-100ip""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9890/Elation%20Sixpar%20100%20IP%20%20100WMG%20-%20User%20Manual.pdf""}]",""
"Elation","SIXPAR 100","Wash","[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",3.3,257,243,125,"","","","",89,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-100""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9887/Elation%20Sixpar%20100%20-%20User%20Manual%202022-02-21.pdf""}]",""
"Elation","SIXPAR 200 IP","Wash","[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",5.7,313,300,157,"","","","",150,"","","DMX 3-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-200ip""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9889/ELATION%20SIXPAR%20200IP%20&%20WMG%20-%20USER%20MANUAL.pdf""}]",""
"Elation","SIXPAR 200 WMG","Wash","[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",5.7,313,300,157,"","","","",150,"","","DMX 3-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-200wmg""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/11387/ELATION%20SIXPAR%20SERIES%20-%20DMX%20TRAITS.pdf""}]",""
"Elation","SIXPAR 200","Wash","[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",4.9,313,300,125,"","","","",150,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-200""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9852/Elation%20Sixpar%20200%20-%20User%20Manual%202022-02-21.pdf""}]",""
"Elation","SIXPAR 300 IP","Wash","[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",9.5,365,365,157,"","","","",220,"","","DMX 3-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-300ip""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9888/ELATION%20SIXPAR%20300IP%20&%20WMG%20-%20USER%20MANUAL.pdf""}]",""
"JB-Lighting","JBLED A7","Wash","[{""name"":""Standard 8bit"",""channels"":16},{""name"":""Standard 16bit"",""channels"":19},{""name"":""Compressed 8bit"",""channels"":12},{""name"":""Compressed 16bit"",""channels"":15}]",8.9,315,388,200,"","","","",350,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""""},{""type"":""manual"",""ref"":""https://www.jb-lighting.de/download/Handbuch/JBLED_A7_Manual.pdf""}]",""
"JB-Lighting","Varyscan P7","Wash","[{""name"":""1st"",""channels"":26},{""name"":""2nd"",""channels"":31},{""name"":""3rd"",""channels"":24}]",17,380,580,264,11020,"lm","","",380,"","","DMX 3-pin; DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""""},{""type"":""manual"",""ref"":""https://www.jb-lighting.de/download/Handbuch/Varyscan_P7_Manual.pdf""}]",""
"Solaris","SMART 36","Wash","[{""name"":""6-channel"",""channels"":6}]",3,118,237,230,"","","","",150,"","","DMX 3-pin","","","","[{""type"":""datasheet"",""ref"":""""},{""type"":""manual"",""ref"":""""}]",""
"Showline","SL NITRO 510C","Strobe","[{""name"":""RGBW Full 1-zone"",""channels"":8},{""name"":""RGBW Full 2-zone"",""channels"":8},{""name"":""RGBW Full 3-zone"",""channels"":8},{""name"":""RGBW Full 6-zone"",""channels"":8},{""name"":""RGBW Expanded 1-zone"",""channels"":8},{""name"":""RGBW Expanded 2-zone"",""channels"":8},{""name"":""RGBW Expanded 3-zone"",""channels"":8},{""name"":""RGBW Expanded 6-zone"",""channels"":8},{""name"":""RGBW 16-Bit 1-zone"",""channels"":8},{""name"":""RGBW 16-Bit 2-zone"",""channels"":8},{""name"":""RGBW 16-Bit 3-zone"",""channels"":8},{""name"":""RGBW 16-Bit 6-zone"",""channels"":8},{""name"":""RGBW 8-Bit 1-zone"",""channels"":6},{""name"":""RGBW 8-Bit 2-zone"",""channels"":6},{""name"":""RGBW 8-Bit 3-zone"",""channels"":6},{""name"":""RGBW 8-Bit 6-zone"",""channels"":6},{""name"":""6-channel"",""channels"":6},{""name"":""Mapping 16-Bit"",""channels"":1}]",8,390,103,263,"","","","",360,"","","DMX 5-pin","","","","[{""type"":""datasheet"",""ref"":""https://www.vari-lite.com/global/products/sl-nitro-510c""},{""type"":""manual"",""ref"":""https://www.vari-lite.com/b-dam/vari-lite/products/sl-nitro-510c/guides-and-manuals/Selecon_SL_NITRO_510C_UserManual.pdf""}]",""
